objectid,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,landslide_category,landslide_trigger,storm_name,comments,method,image_type,sat_date_before,sat_date_after,country_name,country_code,citation,latitude,longitude
7888,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26442,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,"2023-03-25, 2023-04-07, 2023-04-10, 2023-04-25","2023-05-10, 2023-05-14, 2023-05-16",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-2.0247285699999793,29.39954541000003
7979,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26418,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,"2023-03-25, 2023-04-07, 2023-04-10, 2023-04-25","2023-05-10, 2023-05-14, 2023-05-16",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-2.0242238339999403,29.40616349000004
8088,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26435,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,"2023-03-25, 2023-04-07, 2023-04-10, 2023-04-25","2023-05-10, 2023-05-14, 2023-05-16",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-2.0221886019999715,29.397203432000026
8091,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26448,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,"2023-03-25, 2023-04-07, 2023-04-10, 2023-04-25","2023-05-10, 2023-05-14, 2023-05-16",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-2.009226584999965,29.383682924000027
8125,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26414,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,"2023-03-25, 2023-04-07, 2023-04-10, 2023-04-25","2023-05-10, 2023-05-14, 2023-05-16",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-1.9685622759999433,29.366933291000066
8223,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26419,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,"2023-03-25, 2023-04-07, 2023-04-10, 2023-04-25","2023-05-10, 2023-05-14, 2023-05-16",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-2.0232002029999308,29.405094279000025
13463,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26529,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,2023-04-20,"2023-05-13, 2023-05-15",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-1.7261625529999378,29.30101877800007
22594,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26551,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,2023-04-20,"2023-05-13, 2023-05-15",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-1.7419200639999417,29.311104233000037
29143,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26544,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,2023-04-20,"2023-05-13, 2023-05-15",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-1.7416946749999624,29.305852985000058
29194,Floodlist,https://floodlist.com/africa/rwanda-floods-may-2023,26462,1682985600000,,"Manual inventory of landslides in Rwanda, 2023-05-02","In early May, torrential rainfall triggered flooding and landslides in many parts of Rwanda",,Landslide,Downpour,,,Manual,PlanetScope,"2023-03-25, 2023-04-07, 2023-04-10, 2023-04-25","2023-05-10, 2023-05-14, 2023-05-16",Rwanda,RW,"Soobitsky, R., 2023, Manual inventory of landslides in Rwanda, 2023-05-02. NASA GSFC. Juang CS, Stanley TA, and Kirschbaum DB. (2019). Using citizen science to expand the global map of landslides: Introducing the Cooperative Open Online Landslide Repository (COOLR). PLOS ONE. 14(7): e0218657. doi: 1371/journal.pone.0218657.",-2.0143243599999323,29.38460604100004
